Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",277,0.07,0x7FFB6FF23004,0,0,0,0,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_Body>b__9_0",274,0.07,0x7FFB6FF227D4,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",272,0.07,0x7FFB6FF0C52B,0,0,0,0,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationEnd",269,0.07,0x7FFB6FF0F2E9,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Qubit.GetQubits",233,0.06,0x7FFB6FF1BFB5,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",230,0.06,0x7FFB6FF0C40B,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_MicrosoftQuantumExtensionsConvertToDouble",220,0.06,0x7FFB6FF252B5,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",220,0.06,0x7FFB6FF0C432,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",220,0.06,0x7FFB6FF0C53B,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.GetTupleValues",208,0.05,0x7FFB6FF1A3A6,0,0,0,0,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_AdjointBody>b__11_0",197,0.05,0x7FFB700E0E67,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",196,0.05,0x7FFB6FF22EB4,0,0,0,0,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",190,0.05,0x7FFB6FF0DBB2,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.Normalize",183,0.05,0x7FFB6FF11C10,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",181,0.05,0x7FFB700E0163,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",171,0.04,0x7FFB6FF1277B,0,0,0,0,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_AdjointBody>b__13_0",170,0.04,0x7FFB700E82BA,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.JoinArrays",168,0.04,0x7FFB6FF160C6,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetToQubitArrayMap",164,0.04,0x7FFB6FF0CEFD,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon].op_Addition",157,0.04,0x7FFB6FF16266,0,0,0,0,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_Body>b__11_0",155,0.04,0x7FFB700E2747,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",154,0.04,0x7FFBF7129CD5,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Resolve",150,0.04,0x7FFB6FF1291E,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",142,0.04,0x7FFB700E0234,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.CastTuple",141,0.04,0x7FFB6FF0B46A,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.CastTuple",137,0.04,0x7FFB6FF0B47F,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.GetTupleValues",136,0.04,0x7FFB6FF1A2BE,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].<Create>b__0",136,0.04,0x7FFB6FF2DB26,0,0,0,0,
"[Unknown]",132,0.03,0x7FFB6FDAD140,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.JoinArrays",130,0.03,0x7FFB6FF16144,0,0,0,0,
"System.Linq.Enumerable.Select",129,0.03,0x7FFB6FF27114,0,0,0,0,
"[vcomp140.dll]",128,0.03,0x7FFC0AFD86DA,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.Normalize",127,0.03,0x7FFB6FF11C2A,0,0,0,0,
"System.Linq.Enumerable.Select",124,0.03,0x7FFB6FF271A8,0,0,0,0,
"Microsoft.Quantum.Primitive.R1Frac.get_RFrac",122,0.03,0x7FFB6FF24B45,0,0,0,0,
"[KernelBase.dll]",120,0.03,0x7FFC1D60C735,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple",119,0.03,0x7FFB6FF0DAB6,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.CastTuple",118,0.03,0x7FFB6FF0B52C,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Apply",117,0.03,0x7FFB6FF11B7B,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.JoinArrays",116,0.03,0x7FFB6FF1616D,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",115,0.03,0x7FFBF70F433D,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].FindPartialType",115,0.03,0x7FFB6FF2BB7A,0,0,0,0,
"[vcomp140.dll]",108,0.03,0x7FFC0AFD4EA2,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Resolve",107,0.03,0x7FFB6FF1292E,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.Normalize",105,0.03,0x7FFB6FF11E62,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].Partial",104,0.03,0x7FFB6FF2B967,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary.Partial",104,0.03,0x7FFB6FF20859,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",103,0.03,0x7FFB6FF126ED,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.Normalize",103,0.03,0x7FFB6FF11E7F,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",103,0.03,0x7FFB6FEF8656,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",101,0.03,0x7FFB6FF2302D,0,0,0,0,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",98,0.03,0x7FFB6FF0DBDF,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",96,0.03,0x7FFB6FF0C422,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].<Create>b__0",95,0.02,0x7FFB6FF2DB02,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.Normalize",95,0.02,0x7FFB6FF11E45,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",92,0.02,0x7FFB6FEF8652,0,0,0,0,
"System.Linq.Enumerable.Select",92,0.02,0x7FFB6FF271CD,0,0,0,0,
"[Unknown]",91,0.02,0x7FFB6FDDC0C8,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericAdjoint.CreateOperation",89,0.02,0x7FFB700E7CF3,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].<Create>b__0",89,0.02,0x7FFB6FF220D8,0,0,0,0,
"[KernelBase.dll]",88,0.02,0x7FFC1D60C73B,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.Normalize",86,0.02,0x7FFB6FF11E28,0,0,0,0,
"System.Linq.Enumerable+SelectListIterator`2[System.__Canon,System.UInt32].ToArray",86,0.02,0x7FFB6FF27B03,0,0,0,0,
