Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Double,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply",60,0,0.02,0.00,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimH+<>c.<get_Body>b__7_0",18,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation",113,0,0.03,0.00,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0","System.ValueTuple`2[System.Double,System.__Canon]..ctor",1,1,0.00,0.00,
"Root","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_Body","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_Body",2,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_Body","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`5[System.__Canon,System.Int64,System.Double,System.__Canon,System.__Canon],System.__Canon].Apply",2,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_Body","[coreclr.dll]",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_Body","[Unknown]",1,1,0.00,0.00,
"Root","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumExtensionsConvertToDouble","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumExtensionsConvertToDouble",1,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumExtensionsConvertToDouble","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumExtensionsConvertToDouble","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",1,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveH","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveH",3,1,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveH","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0",3,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveH","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",2,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveRz","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveRz",1,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveRz","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveRz","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",1,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExpMod..ctor","Microsoft.Quantum.Canon.ExpMod..ctor",2,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExpMod..ctor","[coreclr.dll]",2,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod..ctor","[coreclr.dll]",2,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","1,082",3,0.28,0.00,
"Caller","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0",4,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.Int64],System.Int64].Apply","1,082",3,0.28,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","[coreclr.dll]",7,4,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","[Unknown]",3,3,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0",4,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual",26,1,0.01,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExpMod.get_BitSize",14,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExpMod.get_BoolArrFromPositiveInt",6,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",4,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.Int64,System.Int64].Microsoft.Quantum.Simulation.Core.ICallable.Apply",109,2,0.03,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply",271,1,0.07,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Boolean,System.Boolean,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply",308,0,0.08,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.Range+<GetEnumerator>d__12.MoveNext",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.EndOperation",4,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation",324,0,0.08,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","System.ValueTuple`2[System.Int64,System.Int64]..ctor",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","System.ValueTuple`3[System.Boolean,System.Boolean,System.__Canon]..ctor",1,1,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual","Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual",26,1,0.01,0.00,
"Caller","Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0",26,1,0.01,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual","[coreclr.dll]",4,4,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual","Microsoft.Quantum.Simulation.Core.AbstractOperation.get_Factory",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",20,1,0.01,0.00,
"Root","Microsoft.Quantum.Canon.ExpMod.get_BitSize","Microsoft.Quantum.Canon.ExpMod.get_BitSize",14,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExpMod.get_BitSize","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0",14,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.get_BitSize","[coreclr.dll]",4,4,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.get_BitSize","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",10,1,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExpMod.get_Body","Microsoft.Quantum.Canon.ExpMod.get_Body",3,1,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExpMod.get_Body","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.Int64],System.Int64].Apply",3,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.get_Body","[coreclr.dll]",2,2,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExpMod.get_BoolArrFromPositiveInt","Microsoft.Quantum.Canon.ExpMod.get_BoolArrFromPositiveInt",6,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExpMod.get_BoolArrFromPositiveInt","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0",6,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExpMod.get_BoolArrFromPositiveInt","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",6,1,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExtendedGCD..ctor","Microsoft.Quantum.Canon.ExtendedGCD..ctor",1,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExtendedGCD..ctor","[coreclr.dll]",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD..ctor","[coreclr.dll]",1,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","6,003",6,1.57,0.00,
"Caller","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0",23,0,0.01,0.00,
"Caller","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.ValueTuple`2[System.Int64,System.Int64]].Apply","6,003",6,1.57,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","[coreclr.dll]",31,21,0.01,0.01,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","[Unknown]",5,5,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0",23,0,0.01,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExtendedGCD.get_Fst",19,4,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExtendedGCD.get_MicrosoftQuantumExtensionsMathSignI",10,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Canon.ExtendedGCD.get_Snd",36,3,0.01,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.GenericOperation.Apply","5,859",6,1.53,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.GenericOperation.Microsoft.Quantum.Simulation.Core.ICallable.Apply",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.Int64,System.Int64].Microsoft.Quantum.Simulation.Core.ICallable.Apply",2,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.EndOperation",23,0,0.01,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation",11,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExtendedGCD.get_Body","Microsoft.Quantum.Canon.ExtendedGCD.get_Body",2,1,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExtendedGCD.get_Body","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.ValueTuple`2[System.Int64,System.Int64]].Apply",2,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_Body","[coreclr.dll]",1,1,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExtendedGCD.get_Fst","Microsoft.Quantum.Canon.ExtendedGCD.get_Fst",19,4,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExtendedGCD.get_Fst","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0",19,4,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_Fst","[coreclr.dll]",4,3,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_Fst","Microsoft.Quantum.Simulation.Core.AbstractOperation.get_Factory",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_Fst","Microsoft.Quantum.Simulation.Core.GenericOperation..ctor",10,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExtendedGCD.get_MicrosoftQuantumExtensionsMathSignI","Microsoft.Quantum.Canon.ExtendedGCD.get_MicrosoftQuantumExtensionsMathSignI",10,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.ExtendedGCD.get_MicrosoftQuantumExtensionsMathSignI","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0",10,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_MicrosoftQuantumExtensionsMathSignI","[coreclr.dll]",2,2,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_MicrosoftQuantumExtensionsMathSignI","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",8,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.ExtendedGCD.get_Snd","Microsoft.Quantum.Canon.ExtendedGCD.get_Snd",36,3,0.01,0.00,
"Caller","Microsoft.Quantum.Canon.ExtendedGCD.get_Snd","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0",36,3,0.01,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_Snd","[coreclr.dll]",4,4,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_Snd","Microsoft.Quantum.Simulation.Core.AbstractOperation.get_Factory",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.ExtendedGCD.get_Snd","Microsoft.Quantum.Simulation.Core.GenericOperation..ctor",28,0,0.01,0.00,
"Root","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0",379,2,0.10,0.00,
"Caller","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0",16,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.Int64].Apply",379,2,0.10,0.00,
"Callee","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","[coreclr.dll]",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0",16,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationEnd",3,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",15,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.EndOperation",12,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation",346,1,0.09,0.00,
"Root","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].get_Body","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].get_Body",5,1,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].get_Body","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.Int64].Apply",5,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].get_Body","[coreclr.dll]",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].get_Body","[Unknown]",3,3,0.00,0.00,
"Root","Microsoft.Quantum.Canon.GCD..ctor","Microsoft.Quantum.Canon.GCD..ctor",1,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.GCD..ctor","[coreclr.dll]",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.GCD..ctor","[coreclr.dll]",1,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.GCD.<get_Body>b__7_0","Microsoft.Quantum.Canon.GCD.<get_Body>b__7_0",9,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.GCD.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.Int64].Apply",9,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.GCD.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.ValueTuple`2[System.Int64,System.Int64]].Microsoft.Quantum.Simulation.Core.ICallable.Apply",9,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.InPlaceXorLE..ctor","Microsoft.Quantum.Canon.InPlaceXorLE..ctor",2,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.InPlaceXorLE..ctor","[coreclr.dll]",2,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.InPlaceXorLE..ctor","[coreclr.dll]",2,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0",9,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].Apply",9,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0","[coreclr.dll]",2,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0","Microsoft.Quantum.Canon.InPlaceXorLE.get_MicrosoftQuantumPrimitiveX",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply",2,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0","Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX+<>c.<get_Body>b__7_0",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation",3,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.InPlaceXorLE.get_MicrosoftQuantumPrimitiveX","Microsoft.Quantum.Canon.InPlaceXorLE.get_MicrosoftQuantumPrimitiveX",1,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.InPlaceXorLE.get_MicrosoftQuantumPrimitiveX","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.InPlaceXorLE.get_MicrosoftQuantumPrimitiveX","[coreclr.dll]",1,0,0.00,0.00,
"Root","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","2,529",4,0.66,0.00,
"Caller","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0",2,0,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].Apply","2,529",4,0.66,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","[Unknown]",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0",2,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_MicrosoftQuantumPrimitiveR1Frac",11,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationEnd",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Simulation.Core.AbstractOperation.get_Factory",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","2,467",1,0.65,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Simulation.Core.Range+<GetEnumerator>d__12.MoveNext",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation",41,0,0.01,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]..ctor",1,1,0.00,0.00,
"Root","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","2,832",3,0.74,0.00,
"Caller","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].Apply","2,832",3,0.74,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","[coreclr.dll]",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_MicrosoftQuantumPrimitiveR1Frac",8,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",1,0,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","2,761",0,0.72,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon].get_Item",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Core.Range.GetEnumerator",2,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Core.Range+<GetEnumerator>d__12.MoveNext",1,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation",54,0,0.01,0.00,
"Root","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0","13,772",25,3.61,0.01,
"Caller","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0",5,2,0.00,0.00,
"Caller","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0","Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.Int64,System.__Canon]],System.__Canon].Apply","13,772",23,3.61,0.01,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0","[coreclr.dll]",2,1,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0",5,2,0.00,0.00,
"Callee","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_MicrosoftQuantumPrimitiveR1Frac",49,8,0.01,0.00,
