Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_Reverse",5,5,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.<get_AdjointBody>b__15_0",14,7,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.<get_Body>b__13_0",19,8,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_AdjointBody",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_AssertBoolEqual",14,13,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_Body",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveH",29,22,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveR1Frac",39,33,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_SwapReverseRegister",3,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.AsQubitArray.get_Body",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.AssertBoolEqual..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.AssertBoolEqual.<get_Body>b__5_0",6,6,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.AssertBoolEqual.get_Body",10,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.AssertHighestBit..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.BitSize.get_AssertBoolEqual",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.BitSize.get_Body",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.BoolArrFromPositiveInt..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.BoolArrFromPositiveInt.<get_Body>b__7_0",6,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.BoolArrFromPositiveInt.get_Body",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.BoolFromResult..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ContinuedFractionConvergent..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ContinuedFractionConvergent.<get_Body>b__15_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_AdjointBody>b__13_0",3,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_Body>b__11_0",3,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_AdjointBody",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_AsQubitArray",3,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_Body",2,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_Tail",10,9,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0",4,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_Body",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExpMod..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0",7,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual",4,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExpMod.get_BitSize",4,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExpMod.get_Body",2,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExtendedGCD..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0",31,21,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExtendedGCD.get_Body",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExtendedGCD.get_Fst",4,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExtendedGCD.get_MicrosoftQuantumExtensionsMathSignI",2,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ExtendedGCD.get_Snd",4,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].get_Body",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.GCD..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.InPlaceXorLE..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.InPlaceXorLE.<get_Body>b__9_0",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.InPlaceXorLE.get_MicrosoftQuantumPrimitiveX",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledBody>b__11_0",4,3,0.00,0.00,
